Name,Gender,Position,Height,Weight,Arm Length (inches),Hand Size (inches),Wingspan (inches),Max Velocity (mph),Arm Strength Velocity (mph),Arm Strength Distance (yards),Catch Radius (feet),3 Cone Drill (sec),20 Yard Shuttle (sec),40 Yard Dash (sec),10 Yard Split (sec),Bench Reps at 225,1 Rep Max Press (lbs),1 Rep Max Squat (lbs),Power Clean (lbs),Vertical Jump (inches),Broad Jump (feet),Positions Played,Field Goal Distance (yards),Field Goal Accuracy (%),Field Goal Consistency (avg misses),Punt Distance (yards),Punt Hang Time (seconds),Punt Accuracy (%),Punt Consistency (yards)
Timothy Deleon,Male,Kicker,6.25,313,27.6,9.1,81.7,24.6,69.6,67.8,8.4,6.11,4.32,5.33,1.76,29,442,625,356,36.7,6.5,3,23,0.73,2.8,36,3.7,0.43,43
Kevin Williams,Male,Running Back,5.42,346,28.8,8.8,74.3,24.1,59.5,44.1,5.8,7.79,4.3,4.55,1.47,10,373,573,324,43.2,11.6,1,36,0.8,1.1,48,3.38,0.49,42
Jose Schmidt,Male,Kicker,6.08,334,30.0,8.1,74.5,21.4,62.5,69.4,13.5,6.36,3.92,4.32,1.64,13,353,716,389,35.3,8.5,2,45,0.59,1.8,25,3.2,0.46,44
David Lee,Male,Wide Receiver,5.17,199,31.1,10.3,66.1,21.4,64.4,62.0,10.1,6.47,5.31,4.92,1.51,13,298,745,417,23.9,6.6,4,37,0.85,1.6,74,4.51,0.5,56
Larry Black,Male,Safety,5.83,170,30.2,9.1,67.8,19.5,69.6,68.2,12.8,7.38,4.12,5.09,1.31,28,254,304,350,31.1,6.2,3,13,0.67,1.6,31,3.12,0.44,49
Douglas Brown,Male,Defensive Lineman,5.92,172,33.3,7.5,81.2,22.2,65.4,73.5,12.3,5.61,4.95,4.37,1.34,6,511,419,470,31.8,12.5,1,62,0.8,1.6,52,4.4,0.33,51
Robert Hicks,Male,Offensive Lineman,5.25,317,36.6,8.4,75.5,21.8,51.3,44.2,11.8,7.43,4.5,4.59,1.65,16,460,375,336,41.7,12.8,1,14,0.75,2.0,32,4.53,0.4,50
Robert Torres,Male,Offensive Lineman,5.58,326,29.4,7.7,78.5,24.1,51.7,68.7,6.0,5.83,5.2,4.97,1.51,42,338,572,438,25.5,10.5,4,23,0.56,2.4,57,3.24,0.37,48
Paul Ramirez,Male,Safety,6.25,249,28.6,8.3,66.2,17.4,60.2,66.6,10.3,6.43,4.65,5.33,1.93,9,271,372,280,20.2,11.9,4,22,0.77,0.7,27,3.58,0.34,48
Carlos Davis,Male,Punter,6.17,174,31.6,7.6,72.8,23.3,54.6,58.4,9.6,5.55,4.12,5.16,1.68,26,543,384,455,37.6,9.2,2,26,0.93,1.2,34,4.27,0.45,49
Sergio Nash,Male,Punter,5.33,299,31.8,10.4,80.4,16.4,64.4,40.0,6.3,6.18,5.38,4.32,1.6,7,358,580,322,30.8,8.4,3,20,0.63,0.8,29,5.18,0.38,49
Jonathan Vega,Male,Punter,6.58,264,35.4,8.3,81.8,21.5,51.1,48.6,5.9,7.4,3.77,5.39,1.41,6,522,547,349,42.1,10.4,4,55,0.72,1.1,54,3.57,0.4,33
James Mann,Male,Offensive Lineman,6.58,182,28.0,9.4,72.8,24.3,61.1,43.4,14.8,5.83,3.85,4.84,1.69,26,494,708,407,41.4,7.5,1,64,0.69,0.7,47,4.41,0.4,45
Joseph Moore,Male,Defensive Lineman,6.5,180,27.6,9.3,71.6,16.3,55.6,71.8,10.5,6.81,4.35,4.87,1.36,29,440,331,287,43.2,6.0,2,21,0.68,0.6,29,3.14,0.48,51
Tyler Wright,Male,Kicker,6.17,150,37.8,8.3,72.6,18.6,52.8,58.6,13.7,6.35,4.35,5.33,1.85,44,453,505,467,32.4,8.5,3,22,0.89,0.1,61,3.36,0.43,51
Larry Roberts,Male,Wide Receiver,5.92,249,30.8,8.3,69.8,20.1,65.3,53.4,8.0,8.0,3.79,5.42,1.97,40,326,538,499,43.5,9.0,1,35,0.58,1.7,72,3.42,0.37,43
Thomas Cox,Male,Quarterback,6.58,333,32.5,10.2,74.6,16.7,60.5,58.9,14.3,5.86,3.88,4.7,1.49,21,290,660,379,21.3,9.7,1,65,0.56,0.5,31,5.41,0.49,31
Darren Clarke,Male,Offensive Lineman,6.17,293,31.1,9.6,75.1,16.0,62.8,43.3,7.0,7.09,3.87,4.67,1.68,29,370,668,462,29.4,11.6,2,14,0.68,2.6,60,3.75,0.33,54
Steven White,Male,Safety,5.08,260,38.5,10.2,74.2,20.5,54.4,54.5,5.5,7.92,5.32,4.7,1.63,33,285,639,230,38.2,7.4,1,21,0.75,0.6,52,4.53,0.27,35
Jerry Butler,Male,Linebacker,6.58,244,32.4,9.0,73.5,23.1,61.8,40.8,10.2,7.85,5.07,5.19,1.34,27,260,661,348,35.2,11.1,1,14,0.73,0.9,62,3.56,0.48,45
Scott Hendricks,Male,Cornerback,5.0,249,38.8,8.4,84.8,18.2,60.9,54.4,11.8,7.39,4.2,4.28,1.45,42,307,508,275,24.4,12.4,2,14,0.85,1.2,39,3.44,0.31,45
Matthew Obrien,Male,Linebacker,5.92,318,36.3,8.5,76.7,21.8,56.2,69.8,11.3,6.34,5.46,5.18,1.67,24,529,400,208,42.3,7.0,3,25,0.6,2.6,53,3.29,0.33,52
Patrick Brown,Male,Wide Receiver,6.25,206,36.5,10.4,75.0,18.9,61.5,53.9,14.1,5.94,4.94,5.44,1.89,21,393,510,382,33.1,13.0,4,47,0.87,1.1,72,4.2,0.32,41
Charles Waller,Male,Kicker,5.67,211,35.9,10.0,75.0,16.1,53.1,49.6,12.6,7.54,3.91,4.57,1.37,7,434,391,218,37.8,11.6,4,46,0.87,2.8,34,4.97,0.32,59
Jared Bowen,Male,Defensive Lineman,6.5,192,28.4,7.6,84.4,24.1,69.4,63.1,14.6,6.05,4.79,4.42,1.57,26,475,394,461,43.2,11.5,2,17,0.85,1.7,27,5.28,0.49,57
Mark Evans,Male,Running Back,5.0,163,31.7,10.5,73.2,18.5,59.3,53.0,8.6,6.49,3.91,4.29,1.43,33,397,586,333,30.6,12.5,2,63,0.62,0.2,31,4.25,0.36,52
Samuel Calhoun,Male,Tight End,6.08,237,36.1,8.4,78.5,20.8,50.5,61.1,6.3,5.97,5.3,5.22,1.35,43,528,712,221,30.5,10.0,1,16,0.58,0.5,60,3.43,0.4,47
Anthony Martinez,Male,Linebacker,6.83,225,31.4,7.8,70.8,22.5,57.1,63.3,7.6,6.44,5.23,5.24,1.59,29,512,607,347,36.4,12.3,4,18,0.79,1.2,57,4.56,0.31,39
Michael Phillips,Male,Wide Receiver,5.0,198,29.9,7.9,80.8,19.4,65.3,69.2,14.2,7.16,5.16,4.28,1.95,18,375,607,392,23.4,9.0,2,43,0.81,0.8,54,5.36,0.44,32
Brent Silva,Male,Running Back,5.42,233,27.5,10.4,84.5,23.2,64.0,53.4,7.0,6.13,3.72,4.37,1.97,20,349,300,403,42.2,8.8,3,45,0.76,2.1,36,3.95,0.33,50
Brandon Cook,Male,Tight End,6.5,297,25.5,10.5,83.9,21.5,54.4,70.8,12.2,7.19,4.97,4.63,1.71,9,257,508,268,37.7,8.0,2,34,0.71,1.5,42,4.13,0.49,50
Keith Martinez,Male,Punter,6.83,251,34.1,8.1,65.2,21.9,68.5,65.6,6.4,5.51,5.46,5.27,1.45,18,399,569,455,34.7,8.6,3,47,0.64,1.6,45,4.14,0.32,58
Jeffrey Blackwell,Male,Cornerback,5.42,310,37.1,10.3,71.3,20.6,68.0,57.9,5.5,7.47,4.13,4.93,1.4,27,276,362,238,44.2,6.8,3,35,0.65,1.1,40,5.29,0.47,51
Samuel Thomas,Male,Kicker,6.5,328,33.7,10.0,69.2,18.7,54.3,74.0,7.1,5.72,4.85,4.4,1.86,20,347,398,313,44.0,12.5,4,62,0.71,0.3,63,3.59,0.46,57
Bryan Thompson,Male,Linebacker,5.25,339,30.9,8.9,84.9,23.9,61.9,51.4,11.4,7.41,4.07,5.07,1.33,27,508,570,353,35.2,7.9,3,48,0.6,1.9,56,4.77,0.42,37
Nicholas Avila,Male,Wide Receiver,5.33,164,27.8,10.3,71.1,19.0,56.6,65.2,5.3,7.03,3.65,5.41,1.88,28,383,410,276,23.2,12.9,2,61,0.83,0.5,39,3.63,0.39,43
Andrew Riggs,Male,Tight End,5.08,224,34.3,8.1,80.4,19.3,54.2,57.1,6.4,7.01,4.63,4.96,1.57,19,522,598,380,40.3,7.5,2,28,0.72,0.3,59,5.24,0.34,56
Eric Tanner,Male,Linebacker,6.58,203,28.8,8.6,74.9,17.9,56.9,43.2,9.5,5.75,5.45,4.4,1.5,9,517,445,425,33.8,7.1,1,46,0.65,0.5,72,4.93,0.33,49
Aaron Gonzalez,Male,Cornerback,5.08,261,31.3,9.7,83.9,22.2,53.7,52.6,10.7,6.68,4.48,5.35,1.85,21,407,672,296,35.6,9.5,2,46,0.58,1.0,41,5.06,0.49,58
Marcus Velasquez,Male,Quarterback,5.75,317,25.3,8.0,80.1,22.1,64.7,66.6,7.4,7.06,5.2,4.75,1.54,10,392,487,381,27.7,7.9,2,48,0.93,0.9,63,3.49,0.26,36
Steven Green,Male,Wide Receiver,6.67,276,39.4,10.2,84.5,16.5,57.7,67.4,6.1,6.92,4.8,4.75,1.63,42,396,354,273,21.0,6.7,1,65,0.95,0.4,55,5.48,0.44,45
Shaun Hernandez,Male,Quarterback,5.83,274,38.5,7.7,66.9,20.9,65.7,47.7,14.1,6.81,4.84,5.28,1.98,26,298,487,241,27.4,11.8,4,30,0.74,2.8,60,5.46,0.29,44
Joseph Meyer,Male,Running Back,6.5,284,28.0,8.6,74.2,21.4,52.0,61.8,5.2,6.72,4.61,4.78,1.38,17,321,597,309,27.1,9.7,4,26,0.66,2.6,44,4.7,0.26,31
Gerald Smith,Male,Offensive Lineman,5.58,158,35.3,8.7,82.1,21.7,53.3,52.6,11.8,6.88,3.88,4.51,1.6,5,341,654,258,43.3,9.6,2,18,0.83,1.6,25,3.86,0.29,52
Robert Johnston,Male,Running Back,6.75,207,31.1,8.1,65.7,20.8,65.4,68.8,11.2,7.3,4.22,4.55,1.57,9,466,447,332,35.1,12.1,3,20,0.94,0.4,47,4.64,0.4,43
Chad Harmon,Male,Punter,5.25,189,39.9,9.0,78.7,23.6,60.3,59.5,13.8,6.19,3.6,4.81,1.64,33,348,459,218,30.7,12.2,1,19,0.55,0.6,72,4.8,0.46,42
Gary Hickman,Male,Linebacker,6.75,192,34.6,9.2,76.3,22.1,65.7,53.8,11.9,5.75,4.91,4.56,1.9,19,536,678,395,27.3,8.0,1,36,0.84,1.8,51,4.48,0.41,51
David Clark,Male,Defensive Lineman,6.25,245,33.3,8.8,72.5,23.6,61.5,55.5,9.1,7.85,3.58,4.84,1.69,15,436,727,300,35.5,6.7,4,59,0.72,0.2,29,4.46,0.46,38
Alejandro Williams,Male,Tight End,6.33,279,26.4,7.7,65.2,21.8,66.1,72.4,10.8,6.09,5.1,4.38,1.98,41,543,395,258,27.0,7.5,1,40,0.65,2.4,37,3.49,0.27,34
Richard Perkins,Male,Quarterback,5.75,193,30.1,8.4,80.5,16.4,54.0,51.1,13.5,6.43,3.56,4.23,1.68,42,536,568,218,23.9,12.6,3,46,0.68,2.6,66,3.09,0.32,40
John Levy,Male,Linebacker,5.0,211,26.7,9.0,66.2,22.7,51.6,67.4,12.5,5.86,4.47,5.05,1.68,37,353,654,403,42.4,12.2,3,48,0.55,2.9,51,3.73,0.49,44
Aaron Orr,Male,Punter,6.92,295,31.0,8.4,66.1,24.6,65.6,72.8,5.0,5.74,3.92,4.42,1.5,26,355,350,213,32.3,12.9,2,52,0.89,0.2,59,4.06,0.47,40
Kenneth Sullivan,Male,Running Back,5.0,289,39.0,8.5,80.3,22.9,55.0,69.8,9.0,6.95,4.58,4.42,1.96,10,518,469,306,34.4,11.4,3,34,0.93,0.7,69,3.06,0.29,33
James Edwards,Male,Safety,6.5,306,29.8,9.8,80.7,16.9,53.8,73.7,14.5,6.81,4.17,4.54,1.88,7,527,690,245,28.9,7.0,2,38,0.83,1.0,45,5.2,0.36,39
Michael Rivers,Male,Quarterback,5.5,343,39.4,9.5,84.9,23.0,51.6,43.7,10.9,7.38,5.22,5.13,1.7,22,377,553,277,42.4,10.6,4,19,0.67,0.1,46,5.4,0.35,55
Timothy Boyd,Male,Defensive Lineman,5.08,196,31.0,8.5,67.3,24.7,61.6,52.0,10.8,5.55,5.41,4.95,1.7,36,351,558,340,22.1,11.3,1,47,0.84,1.6,60,3.12,0.35,58
Dustin Hernandez,Male,Defensive Lineman,6.75,273,37.1,8.9,84.2,18.7,61.0,54.5,14.5,6.64,3.65,4.67,1.31,41,530,616,486,32.9,8.6,4,37,0.85,2.5,55,3.22,0.33,43
Matthew Thompson,Male,Running Back,5.5,267,25.6,9.6,84.2,22.3,52.2,44.4,9.1,6.32,5.09,5.47,1.96,41,380,434,433,41.5,7.4,3,25,0.56,1.6,42,3.71,0.44,44
Timothy Evans,Male,Wide Receiver,5.17,324,28.6,8.6,80.3,19.1,56.0,54.6,9.5,6.79,4.46,4.97,1.58,44,340,459,492,43.1,8.8,2,29,0.6,1.2,68,5.29,0.34,56
Carlos Morris,Male,Safety,6.33,300,32.0,9.0,77.2,20.6,63.6,73.2,14.5,7.53,4.26,4.76,1.48,7,266,720,449,38.4,12.7,3,36,0.8,2.0,70,4.86,0.29,33
Dominic Cooper,Male,Offensive Lineman,6.42,325,37.4,10.3,77.9,23.9,53.8,42.3,7.7,6.33,4.68,5.49,1.8,39,546,478,203,40.9,9.1,1,64,0.67,2.1,53,3.63,0.26,50
Ricky Powers,Male,Kicker,5.0,169,26.3,9.9,80.1,16.0,67.8,70.4,6.8,7.38,4.44,5.0,1.37,17,323,361,389,24.5,7.9,4,65,0.84,0.5,41,5.22,0.36,35
Gregory Cline,Male,Tight End,5.75,237,31.2,9.3,77.3,21.0,64.3,57.8,12.6,7.94,4.62,5.11,1.53,15,298,432,346,28.1,8.7,4,43,0.56,2.5,53,3.87,0.3,38
Paul Bryant,Male,Punter,6.42,152,35.4,8.6,66.8,22.2,53.7,44.4,13.5,7.85,5.08,5.29,1.49,14,438,494,322,22.3,7.0,2,49,0.84,2.3,70,4.97,0.38,34
Brandon Davis,Male,Cornerback,6.33,175,25.5,9.4,83.1,23.7,59.3,72.1,7.2,6.72,3.83,4.7,1.45,30,321,531,203,40.3,10.7,1,25,0.85,0.2,28,4.34,0.28,38
David Oneal,Male,Running Back,5.33,340,27.3,8.1,72.5,23.9,50.8,58.2,9.6,7.4,5.28,5.3,1.64,15,366,582,258,36.3,9.6,3,39,0.85,0.0,27,3.53,0.25,36
Dennis Farmer,Male,Wide Receiver,6.42,216,28.8,9.4,80.1,20.5,59.8,74.0,10.4,7.59,3.89,4.95,1.57,8,351,560,483,44.7,9.3,1,10,0.88,1.4,36,3.41,0.32,41
Daniel Jackson,Male,Defensive Lineman,6.25,198,31.4,8.5,77.9,16.3,50.5,50.1,6.2,6.7,4.74,5.05,1.46,43,420,712,402,22.0,10.5,2,58,0.73,3.0,36,4.66,0.39,31
Victor Reed,Male,Cornerback,6.08,329,31.3,8.2,80.5,20.7,61.8,72.1,7.6,6.18,3.68,4.28,1.8,10,471,569,433,29.6,6.7,2,30,0.91,1.6,59,3.14,0.32,57
Robert Suarez,Male,Defensive Lineman,6.25,181,35.2,9.9,70.0,17.0,69.9,69.6,14.0,6.97,4.96,5.22,1.31,32,527,318,341,36.2,8.4,1,17,0.84,0.6,73,4.0,0.42,32
Martin White,Male,Kicker,5.92,323,34.5,7.5,73.3,21.4,63.8,67.7,14.7,6.11,4.2,4.52,1.98,10,465,545,214,27.7,12.6,2,43,0.59,0.6,49,4.26,0.29,55
James Hill,Male,Defensive Lineman,6.42,345,37.7,10.4,79.8,17.5,69.7,56.2,7.5,7.96,5.22,5.29,1.52,36,353,543,276,38.6,7.9,4,58,0.76,2.6,72,4.82,0.32,34
Victor Ortiz,Male,Cornerback,6.92,167,29.5,8.2,67.0,22.2,59.7,69.4,6.8,6.41,4.47,5.15,1.83,6,479,329,250,29.6,11.0,4,52,0.58,0.3,33,3.01,0.47,59
Patrick Miller,Male,Cornerback,6.83,172,28.8,7.8,71.2,19.3,54.5,68.8,14.3,7.9,3.69,4.54,1.99,38,529,465,363,22.3,9.3,2,20,0.66,0.8,52,4.31,0.39,34
Kurt Dennis,Male,Tight End,6.08,285,35.2,8.1,65.6,22.8,61.7,62.3,9.2,6.87,4.53,4.21,1.55,23,536,407,462,44.5,12.0,4,10,0.92,2.5,69,4.33,0.5,60
Jordan Zhang,Male,Running Back,6.17,265,30.4,9.6,68.1,22.4,66.0,55.5,12.7,6.31,4.76,4.53,1.44,44,396,381,215,32.0,7.4,2,44,0.8,1.4,36,3.45,0.49,56
Christopher Lopez,Male,Tight End,5.25,345,32.9,7.5,73.6,18.9,57.7,53.6,11.4,7.47,4.39,5.11,1.96,27,269,460,200,43.8,11.1,3,36,0.62,2.5,64,5.07,0.34,56
James Howard,Male,Punter,5.75,304,38.9,10.1,82.2,22.7,60.1,49.3,12.8,6.37,3.56,4.27,1.49,10,530,453,307,27.1,7.1,4,16,0.76,1.9,38,3.67,0.3,39
Joseph Smith,Male,Wide Receiver,6.92,186,30.8,8.8,69.4,22.3,69.0,71.5,10.9,7.55,5.3,4.98,1.5,29,424,632,385,33.2,8.4,2,55,0.84,1.4,45,4.23,0.26,42
Rodney Escobar,Male,Cornerback,6.42,158,37.0,9.6,77.9,24.6,55.9,72.3,13.7,7.98,4.9,4.43,1.35,27,428,322,482,25.7,9.4,2,40,0.94,2.9,43,5.06,0.47,40
John Peters,Male,Linebacker,5.42,151,39.2,9.2,84.4,20.8,59.1,61.9,12.7,6.17,4.69,5.09,1.41,24,358,741,300,23.5,8.3,4,15,0.9,2.3,58,4.67,0.31,31
Robert Gonzales,Male,Punter,5.58,227,33.1,8.4,73.7,21.0,65.1,51.5,12.8,6.16,3.91,4.6,1.74,17,318,391,338,32.8,10.2,3,20,0.94,2.1,72,4.26,0.41,40
Jay Wise,Male,Quarterback,6.5,321,28.9,8.9,69.7,23.6,69.8,59.4,7.6,6.63,5.08,4.67,1.8,36,456,625,488,30.3,9.8,4,63,0.78,1.1,33,3.75,0.39,52
Shaun Yoder,Male,Kicker,5.75,195,30.1,7.7,84.5,21.7,65.4,63.4,7.4,7.8,4.67,4.98,1.89,33,269,693,482,42.6,12.4,3,23,0.84,0.7,30,5.24,0.36,55
William Wright,Male,Safety,5.92,303,36.7,8.8,67.8,16.5,63.5,43.8,8.0,6.43,4.28,4.46,1.67,44,448,342,482,36.0,12.5,4,44,0.94,2.2,54,4.37,0.31,55
Erik Smith,Male,Quarterback,5.17,190,34.9,9.7,70.8,20.0,57.2,67.2,10.5,7.74,3.51,4.97,1.62,35,441,449,377,38.4,8.8,3,65,0.89,0.6,49,5.19,0.33,52
Philip Melton,Male,Punter,5.17,199,26.7,8.9,68.1,16.7,53.1,40.6,10.1,6.17,5.2,4.74,1.95,43,377,695,428,40.0,12.5,2,19,0.91,0.2,30,3.32,0.41,34
Matthew Jennings,Male,Cornerback,5.17,173,28.4,7.7,77.0,19.9,68.2,49.0,6.4,7.57,3.69,4.73,1.62,37,389,367,249,34.8,7.1,1,39,0.64,2.6,26,4.43,0.32,37
Luke Tate,Male,Wide Receiver,6.42,311,31.1,7.9,77.1,17.6,60.0,59.7,6.9,6.05,4.03,4.47,1.55,31,308,581,464,42.8,12.0,1,23,0.94,2.1,69,3.93,0.39,57
Isaac Levy,Male,Wide Receiver,6.5,184,39.5,8.7,76.5,16.8,50.9,67.5,10.6,7.24,4.01,5.4,1.86,7,250,522,333,22.8,10.1,2,53,0.59,1.0,44,4.63,0.39,31
David Robinson,Male,Wide Receiver,6.08,155,29.2,7.6,66.0,22.0,57.7,56.3,8.9,7.76,5.37,5.37,1.88,5,326,689,484,23.1,7.4,4,23,0.64,2.6,31,4.49,0.4,44
Robert Nguyen,Male,Cornerback,5.0,280,38.4,8.8,69.1,22.8,57.7,40.6,9.9,7.09,5.13,4.22,1.78,25,542,353,306,35.3,7.9,3,30,0.76,1.5,31,4.08,0.38,33
Brandon Lopez,Male,Punter,6.08,331,32.2,10.3,84.8,24.1,51.0,42.5,13.6,6.06,3.54,4.65,1.71,21,524,477,490,34.3,6.1,4,30,0.64,1.9,42,3.16,0.46,56
Joseph Cox,Male,Safety,6.83,344,25.9,8.1,72.2,16.9,61.4,62.3,8.1,5.65,3.89,5.25,1.92,21,497,581,383,44.7,9.5,2,14,0.9,2.8,53,3.72,0.46,36
Eric Hernandez,Male,Defensive Lineman,5.92,279,34.0,9.1,67.3,17.9,55.6,61.5,8.2,7.54,3.84,4.32,1.78,33,499,619,227,41.6,10.1,3,56,0.91,2.0,72,3.25,0.47,52
Bradley Stephens,Male,Defensive Lineman,6.17,168,33.4,10.1,70.6,17.2,51.3,43.7,5.5,5.95,4.13,4.83,1.85,10,537,344,451,25.4,10.2,2,33,0.62,0.7,60,5.02,0.32,46
Chad Kelly,Male,Defensive Lineman,6.5,264,27.6,9.9,67.4,21.7,50.4,65.3,8.8,5.52,4.11,5.25,1.85,32,410,361,227,36.7,6.9,3,41,0.68,2.5,25,4.19,0.37,30
James Torres,Male,Running Back,5.0,185,27.1,7.8,82.8,24.1,59.8,67.5,14.4,7.94,4.42,5.37,1.71,41,527,474,437,44.6,10.9,1,52,0.87,1.0,27,4.66,0.38,47
Timothy Nelson,Male,Defensive Lineman,5.42,331,37.1,8.9,70.6,24.5,51.7,71.9,13.9,5.87,5.03,4.21,1.36,37,389,732,303,29.3,10.8,4,27,0.8,1.0,62,4.09,0.28,33
Dustin Perry,Male,Punter,6.58,169,36.2,8.8,72.0,25.0,55.2,68.4,5.2,7.39,4.23,5.46,1.95,28,465,655,404,41.9,10.3,1,27,0.9,1.8,66,3.89,0.26,31
Nicholas King,Male,Tight End,6.42,310,26.2,8.4,76.6,19.6,67.7,52.9,13.9,7.77,3.51,4.22,1.66,43,390,395,427,34.1,7.9,3,33,0.64,2.9,51,4.61,0.34,60
John Hodge,Male,Wide Receiver,5.75,235,37.2,7.5,84.2,23.6,56.3,64.2,9.8,6.57,3.88,4.22,1.55,33,434,324,478,21.6,11.1,3,12,0.81,2.6,50,5.12,0.45,47
Christopher Young,Male,Punter,6.08,160,39.2,10.0,67.2,24.1,50.9,65.3,12.1,7.95,4.6,4.23,1.84,41,446,318,360,42.0,8.7,2,20,0.88,1.9,31,4.12,0.43,52
Steve Richards,Male,Cornerback,6.92,193,27.8,9.4,83.6,21.4,50.6,55.7,9.7,5.54,4.88,5.07,1.37,31,419,315,358,35.1,6.5,4,43,0.73,2.5,63,3.08,0.28,47
Robert Mcbride,Male,Cornerback,5.25,190,35.1,8.2,80.8,23.1,57.0,68.6,12.8,6.94,5.22,5.41,1.93,11,296,651,424,40.4,6.2,2,55,0.88,1.0,67,4.72,0.46,35
Tyler Wells,Male,Punter,6.58,198,26.2,7.9,80.7,16.3,54.3,66.4,12.5,7.99,5.32,5.45,1.41,42,332,595,352,26.2,10.6,4,52,0.64,2.6,67,4.72,0.46,37
Christopher Rivas,Male,Running Back,6.83,158,26.0,10.5,66.6,19.8,52.5,68.5,9.8,7.16,3.91,5.47,1.66,20,456,303,302,28.1,11.7,2,30,0.78,1.4,26,3.49,0.34,32
Matthew Payne,Male,Running Back,6.58,166,38.4,10.0,80.2,24.5,69.4,55.1,9.4,5.89,5.14,4.36,1.47,33,460,557,252,43.6,9.6,1,31,0.69,0.3,50,5.0,0.44,50
Kevin White,Male,Kicker,5.25,218,32.3,10.3,81.6,22.4,57.4,48.0,8.7,5.82,4.4,4.8,1.84,12,381,528,337,41.6,7.4,3,60,0.92,0.2,59,5.01,0.37,50
Richard Klein,Male,Quarterback,6.08,214,28.8,8.9,81.2,19.2,56.5,41.5,5.4,6.38,3.66,5.11,1.72,40,309,315,475,24.8,9.7,3,43,0.92,1.3,63,4.47,0.38,55
Michael Campbell,Male,Defensive Lineman,6.58,212,35.4,10.2,77.0,21.5,52.6,43.1,10.3,5.99,3.72,4.48,1.92,39,426,387,491,33.3,6.2,2,35,0.91,1.5,75,3.06,0.46,52
Michael Hess,Male,Linebacker,6.17,228,34.7,10.4,67.2,20.7,50.9,72.1,13.3,6.76,4.5,4.75,1.35,15,404,424,322,23.4,11.9,1,14,0.75,1.6,51,5.26,0.45,43
Bruce Castillo,Male,Offensive Lineman,6.92,301,36.8,7.9,81.6,24.9,54.7,71.2,8.1,6.19,4.49,5.06,1.76,44,462,369,321,21.2,6.2,4,32,0.6,0.5,64,4.73,0.32,44
James Mills,Male,Wide Receiver,6.25,304,39.7,10.3,80.4,23.2,55.2,62.8,13.3,7.82,4.85,4.66,1.38,9,352,351,482,36.1,12.1,2,53,0.58,1.0,72,4.1,0.49,55
Tyler Smith,Male,Defensive Lineman,5.92,164,31.5,8.0,83.9,17.3,65.6,60.8,7.5,5.65,4.78,4.5,1.38,7,340,409,440,28.8,8.9,2,57,0.65,1.4,30,4.98,0.44,58
Brian Mason,Male,Quarterback,5.0,267,38.0,8.0,82.6,18.4,67.2,53.2,5.4,6.81,5.08,5.2,1.61,34,454,400,330,40.1,6.7,1,50,0.57,0.4,46,5.06,0.34,47
Rodney Huffman,Male,Punter,6.0,184,39.2,9.7,73.2,22.4,55.3,42.1,6.8,6.98,4.7,4.27,1.31,43,415,382,245,23.0,10.9,4,45,0.9,0.8,46,4.41,0.39,49
Gregg Richardson,Male,Offensive Lineman,6.42,334,27.3,7.6,80.2,22.0,66.2,51.6,7.4,7.45,3.62,5.26,1.99,40,272,474,373,40.7,9.3,4,55,0.82,0.3,71,3.11,0.25,54
Henry Soto,Male,Linebacker,5.5,206,26.2,10.1,80.9,21.0,68.6,60.6,5.9,6.3,3.89,4.78,1.66,42,324,378,493,44.2,9.6,1,33,0.75,1.7,48,4.69,0.26,60
Daniel Lucas,Male,Linebacker,5.75,281,33.1,8.5,74.8,23.8,65.0,52.9,6.1,7.1,4.25,4.44,1.52,23,370,375,456,34.9,7.2,2,16,0.7,2.8,26,3.49,0.38,60
Tom Hopkins,Male,Tight End,6.25,156,30.7,7.7,70.7,18.6,51.6,56.3,11.9,7.6,5.1,5.19,1.35,13,447,311,366,27.3,9.5,1,65,0.62,0.5,58,3.98,0.4,55
Raymond Jimenez,Male,Safety,6.42,232,36.8,8.1,73.7,23.7,69.9,62.6,7.4,7.89,5.4,5.16,1.32,36,388,714,269,37.7,8.5,2,36,0.86,2.6,44,4.08,0.44,49
Willie Moore,Male,Wide Receiver,6.83,225,29.9,9.5,78.0,22.1,53.6,55.2,10.8,6.98,3.59,4.75,1.72,35,526,465,465,34.9,9.2,3,52,0.8,1.9,25,4.32,0.35,58
Christopher Carpenter,Male,Running Back,6.67,296,27.1,9.1,76.1,18.5,58.8,64.0,13.1,7.52,3.93,4.61,1.79,19,387,386,268,22.7,9.8,3,33,0.78,1.8,35,4.15,0.48,37
Michael Wright,Male,Quarterback,6.08,329,33.3,10.2,73.5,23.4,57.1,49.9,9.8,7.86,5.46,5.33,1.71,32,280,588,387,32.3,12.8,2,20,0.74,2.5,69,3.58,0.31,53
Joshua Hall,Male,Wide Receiver,6.58,290,29.0,8.6,77.4,24.6,54.8,69.8,5.7,7.37,5.37,4.96,1.7,9,446,626,376,26.3,11.0,1,48,0.89,1.9,43,5.04,0.44,37
Alvin Stephens,Male,Linebacker,6.25,175,28.0,8.0,69.7,20.1,57.0,56.3,6.2,5.55,4.77,5.2,1.86,34,336,353,263,30.5,7.8,1,61,0.7,0.1,56,4.44,0.39,46
