ID,Name,Gender,Height (ft),Weight (lbs),Arm Length (inches),Hand Size (inches),Max Velocity (mph),Vertical Jump (inches),Broad Jump (feet),Date,Sport,Activity.Name,Position.Name,Total.Duration,Total.Player.Load,Total.Distance..m.,Training.HSR,Heart.Rate.Exertion,Heart.Rate.Exertion.Per.Minute,Velocity.B3..Total...Efforts..Gen.2...Set.2.,Velocity.Band.2.Total.Distance..Set.2...m.,Velocity.Band.3.Total.Distance..Set.2...m.,Velocity.Band.4.Total.Distance..Set.2...m.,Acceleration.B2.3.Total.Efforts..Gen.2.,Deceleration.B2.3.Total.Efforts..Gen.2.,IMA.H.M.Accel,IMA.H.M.Decel,IMA.CoD.Left.High,IMA.CoD.Left.Medium,IMA.CoD.Right.High,IMA.CoD.Right.Medium,Maximum.Velocity..mph.,Week_of_Year
299,Rita Mitchell,Female,5.75,223,34.5,7.1,10.2,20,5.5,9/21/2021,Soccer,Training,Forward,120.84,429.12,1978.19,4.06,16537.71,94.28,6.78,30.23,613.81,133.97,0.23,72.5,17.25,50.87,40.55,43.85,14.0,36.73,14.69,38
300,Leo Owens,Male,4.67,162,33.2,7.3,15.4,33,10.8,9/22/2021,Soccer,Training,Forward,118.69,217.89,5197.25,1.08,8930.56,69.11,6.37,920.74,641.32,930.87,65.52,33.6,5.91,54.56,27.38,24.23,38.4,11.9,16.61,38
301,Oscar Nelson,Male,4.6,215,35.3,9.1,19.1,35,5.9,9/23/2021,Soccer,Training,Forward,85.0,1064.57,1598.4,5.04,8817.49,181.81,9.56,29.64,750.21,880.92,52.15,14.83,16.7,85.75,32.56,31.33,40.68,9.86,16.81,38
302,Steve Garcia,Male,5.56,161,27.2,9.2,15.8,30,11.3,9/24/2021,Soccer,Game,Forward,95.4,901.84,8794.58,5.33,3859.43,52.99,9.81,337.87,640.37,59.49,32.83,3.76,53.01,12.94,1.77,59.94,2.89,22.92,9.68,39
303,Frank Jackson,Male,5.58,106,33.9,7.5,23.0,20,11.0,9/25/2021,Soccer,Training,Forward,130.01,629.04,10234.91,4.16,12832.09,84.35,9.93,148.11,219.13,748.73,66.46,76.05,16.12,3.39,25.06,30.91,3.09,22.51,13.65,39
304,Paul Irwin,Male,5.77,191,27.6,7.7,14.6,49,8.3,9/26/2021,Soccer,Training,Forward,76.57,695.82,9274.3,9.47,13825.04,66.32,3.41,312.79,377.37,458.57,66.3,40.47,30.56,8.75,22.56,10.32,38.57,24.05,18.14,39
305,Oscar Mitchell,Male,5.95,113,38.9,6.2,14.4,26,10.2,10/1/2021,Soccer,Training,Forward,44.58,100.81,2582.87,8.65,10094.24,180.56,7.34,913.62,156.27,535.97,45.38,17.1,59.7,63.52,8.68,25.86,5.37,33.22,15.1,40
306,Steve Nelson,Male,6.45,185,26.0,7.2,14.0,48,9.3,10/3/2021,Soccer,Training,Forward,78.09,151.29,9822.09,1.93,8374.02,181.16,4.72,886.68,900.01,891.59,11.39,31.33,14.0,62.28,24.86,61.75,2.89,20.37,14.16,40
307,Charlie Perez,Male,5.53,232,31.5,7.8,15.0,35,10.6,10/5/2021,Soccer,Training,Forward,110.76,667.2,8791.65,7.22,3932.3,88.62,4.29,679.72,50.86,853.73,33.77,33.15,1.64,49.45,11.07,62.83,39.86,6.26,2.11,40
308,Nina Evans,Female,5.15,229,35.4,6.5,18.4,49,8.0,10/6/2021,Soccer,Training,Forward,87.61,1025.75,7750.32,1.6,3496.38,176.9,0.55,495.21,698.49,812.02,59.31,24.21,26.97,46.7,34.45,22.57,28.44,17.03,17.66,40
309,Alice Mitchell,Female,6.09,161,31.9,7.8,20.6,33,10.5,10/7/2021,Soccer,Training,Forward,104.24,1129.66,7846.25,2.52,7988.76,157.03,8.98,368.0,275.15,183.51,63.04,62.66,38.03,59.12,16.45,59.93,12.57,9.66,3.35,40
310,Alice Nelson,Female,5.04,248,26.4,9.4,19.9,34,8.2,10/8/2021,Soccer,Game,Forward,76.35,793.88,872.79,4.43,4738.52,82.81,4.85,631.59,996.49,543.51,53.83,58.76,38.78,70.13,15.98,6.61,11.8,29.43,0.73,41
311,Paul Harris,Male,5.38,178,33.3,8.3,22.1,33,11.6,10/9/2021,Soccer,Training,Forward,9.62,1023.61,2300.76,9.5,5620.28,74.58,7.72,381.31,204.6,942.63,44.23,23.27,6.06,58.66,50.15,30.58,11.27,37.08,3.38,41
312,Karen Garcia,Female,4.66,248,34.6,6.3,23.3,47,8.4,10/10/2021,Soccer,Game,Forward,41.53,343.71,7507.97,2.52,2278.65,171.26,1.55,475.03,659.96,515.29,22.0,48.97,32.97,74.06,38.12,11.84,39.71,19.34,5.77,41
313,Diana Clark,Female,4.55,237,35.6,6.8,22.2,40,8.2,10/12/2021,Soccer,Training,Forward,173.08,401.55,7598.84,2.04,3141.43,117.76,9.83,314.81,542.4,32.95,7.86,49.67,8.91,75.65,40.56,21.3,15.31,16.58,1.88,41
314,Leo Mitchell,Male,6.43,157,30.6,7.9,10.3,30,10.5,10/13/2021,Soccer,Individual,Forward,127.61,594.7,4969.68,7.98,12867.12,111.14,7.41,880.92,463.56,730.23,16.7,45.61,29.27,33.9,24.42,28.65,18.32,30.94,3.73,41
315,Mona Nelson,Female,6.17,219,33.5,7.4,21.0,35,10.8,10/13/2021,Soccer,Training,Forward,23.56,316.39,7666.24,1.13,8116.26,137.22,6.36,479.83,413.94,129.58,51.09,54.93,47.54,45.08,61.44,19.64,1.21,26.56,5.03,41
316,Jack Mitchell,Male,5.89,232,31.8,7.4,13.1,38,8.9,10/14/2021,Soccer,Training,Forward,123.24,618.75,3881.82,3.36,2847.95,108.85,2.46,614.6,665.24,414.7,1.69,59.45,44.34,63.67,12.5,2.13,40.83,4.16,17.01,41
317,Jack Mitchell,Male,5.32,164,35.1,8.1,12.0,36,6.3,10/15/2021,Soccer,Game,Forward,8.73,726.37,1342.92,0.78,3721.75,157.84,4.35,528.79,688.8,614.34,48.29,20.19,50.24,88.31,62.86,7.81,40.36,4.99,8.91,42
318,Grace Nelson,Female,4.85,112,33.8,8.3,19.6,46,8.3,10/16/2021,Soccer,Training,Forward,52.04,462.6,8642.95,4.17,12837.89,165.89,1.9,406.02,40.48,950.89,28.42,23.16,14.28,56.75,38.71,48.91,5.12,14.31,5.41,42
319,Rita Roberts,Female,4.81,181,32.9,9.2,14.8,45,11.8,10/17/2021,Soccer,Game,Forward,92.98,567.29,8256.97,6.17,8956.36,150.52,8.0,489.53,727.65,75.72,7.05,39.44,21.92,38.45,8.39,25.84,11.16,7.57,7.13,42
320,Quincy Taylor,Male,5.0,238,28.7,7.4,10.9,25,10.3,10/19/2021,Soccer,Training,Forward,56.61,511.01,5909.67,0.89,16097.63,111.55,6.55,806.2,802.66,288.59,63.09,45.74,28.0,8.0,7.8,57.14,29.31,39.67,7.45,42
321,Tina Taylor,Female,5.6,248,25.0,9.2,12.1,30,10.7,10/20/2021,Soccer,Training,Forward,100.27,517.67,5367.6,3.0,10335.89,128.72,5.88,220.42,502.97,360.93,2.02,30.07,37.04,45.96,25.22,32.64,20.88,17.81,15.92,42
322,Ivy Khan,Female,5.93,151,27.6,7.4,10.0,36,5.2,10/21/2021,Soccer,Training,Forward,116.82,525.77,3239.99,6.38,13942.93,170.28,3.62,827.49,558.85,249.65,54.71,73.91,38.28,76.98,41.13,3.26,40.58,20.09,6.38,42
323,Karen Harris,Female,5.82,216,26.8,6.2,23.5,28,8.3,10/22/2021,Soccer,Game,Forward,92.46,72.66,4370.87,2.75,13607.52,52.07,6.57,125.49,767.74,796.13,33.82,35.93,21.74,82.43,42.43,36.52,12.87,18.34,12.63,43
324,Leo Owens,Male,5.06,125,31.7,8.2,10.4,37,9.5,10/23/2021,Soccer,Training,Forward,135.62,856.4,4605.98,7.5,12572.67,133.91,9.07,692.11,16.51,828.47,42.26,52.34,30.08,21.52,53.5,61.71,9.34,29.16,2.46,43
325,Hank Harris,Male,6.41,133,34.2,8.4,13.1,36,10.8,10/24/2021,Soccer,Game,Forward,102.5,897.96,2026.93,0.32,3896.34,108.25,9.11,110.59,906.08,397.59,16.04,69.17,10.88,55.18,62.41,1.27,32.59,34.18,4.04,43
326,Rita Owens,Female,5.98,151,28.2,9.7,16.2,31,5.3,10/26/2021,Soccer,Training,Forward,155.6,960.53,3411.92,1.0,4307.59,73.25,8.03,935.36,349.24,659.26,12.92,1.62,37.27,78.74,17.3,60.08,21.94,39.7,16.24,43
327,Eve Anderson,Female,5.61,211,39.1,8.9,15.3,42,11.0,10/27/2021,Soccer,Training,Forward,28.06,648.09,4646.06,2.06,13373.32,170.0,1.02,614.55,731.26,301.48,43.42,54.65,36.63,0.07,2.35,39.73,20.13,31.87,5.71,43
328,Rita Roberts,Female,5.72,181,25.1,9.7,23.7,41,8.8,10/28/2021,Soccer,Training,Forward,146.54,817.46,6946.29,9.26,6930.39,139.6,0.23,341.58,645.31,903.85,2.03,59.9,34.48,3.3,53.54,23.39,25.35,23.08,6.23,43
329,Frank Irwin,Male,5.34,141,36.6,9.6,10.6,41,6.4,10/29/2021,Soccer,Game,Forward,130.95,842.01,1498.63,4.59,9116.87,61.75,2.75,316.91,840.0,987.08,35.27,3.23,9.01,35.32,56.84,29.45,37.01,6.55,16.07,44
330,Jack Lopez,Male,5.0,120,34.4,8.4,17.7,49,7.2,11/8/2021,Soccer,Conditioning,Forward,172.5,1089.07,1008.22,1.77,16705.57,116.48,1.31,422.73,766.87,17.04,64.02,2.08,46.36,51.72,35.54,43.06,29.69,25.3,15.87,45
331,Ivy Quinn,Female,5.21,141,30.6,8.1,20.2,24,7.0,11/10/2021,Soccer,Conditioning,Forward,163.77,487.01,5287.82,0.6,6671.45,140.76,2.36,494.23,929.93,853.95,64.26,49.53,36.46,26.45,30.95,5.29,40.93,23.65,0.89,45
332,Karen Mitchell,Female,6.02,240,25.8,8.2,24.0,30,8.7,11/15/2021,Soccer,Conditioning,Forward,27.63,842.41,7170.17,6.76,14239.62,92.02,3.5,330.14,785.17,443.77,24.12,2.42,47.73,75.88,51.19,11.69,37.87,18.65,5.79,46
333,Frank Perez,Male,4.53,212,34.4,9.9,19.3,23,5.4,11/17/2021,Soccer,Game,Forward,42.14,740.24,4821.65,1.01,15403.75,152.84,1.8,930.19,632.88,125.69,63.54,14.8,42.28,86.62,24.85,11.73,5.44,31.93,6.64,46
334,Leo Anderson,Male,4.73,204,30.8,9.1,22.1,46,6.1,11/29/2021,Soccer,Game,Forward,119.46,727.24,8958.45,5.69,10150.91,107.47,4.31,818.89,73.0,342.71,1.13,24.24,48.45,16.96,2.35,19.61,20.1,35.04,11.99,48
335,Steve Foster,Male,4.59,116,39.0,6.4,11.3,23,10.7,12/1/2021,Soccer,Conditioning,Forward,113.43,739.64,4346.4,0.9,10760.57,74.16,5.23,593.65,482.37,118.24,47.6,23.23,41.5,30.55,49.51,32.71,21.24,24.3,6.4,48
336,Diana Quinn,Female,4.58,219,33.1,9.1,15.8,22,5.9,8/13/2021,Soccer,Training,Midfielder,175.13,915.35,3089.19,1.91,12435.0,118.95,7.17,486.02,384.47,354.62,27.96,67.42,39.04,7.58,2.32,39.45,2.4,1.54,4.51,33
337,Charlie Foster,Male,6.21,236,39.1,6.7,15.6,45,6.6,8/14/2021,Soccer,Training,Midfielder,74.85,523.92,9351.19,6.74,4197.05,174.11,3.17,140.25,701.12,916.05,16.91,65.73,58.19,30.93,62.73,39.47,12.77,28.66,4.95,33
338,Nina Davis,Female,5.91,228,28.3,7.8,23.3,43,8.2,8/14/2021,Soccer,Training,Midfielder,172.46,531.17,1567.1,2.9,3939.26,149.94,2.48,405.47,876.3,848.73,39.49,33.61,48.72,26.23,12.31,53.02,8.8,14.12,1.1,33
339,Hank Jackson,Male,5.45,229,35.9,6.8,12.3,42,8.6,8/16/2021,Soccer,Training,Midfielder,88.88,618.72,2888.74,7.57,2261.74,116.18,7.53,949.45,680.81,429.87,5.03,76.34,17.54,7.3,31.48,8.3,18.8,39.77,9.31,33
340,Frank Owens,Male,4.7,159,34.3,8.8,12.3,44,10.3,8/17/2021,Soccer,Training,Midfielder,60.66,880.96,1898.63,8.29,7042.0,122.25,6.21,1.43,153.95,80.18,15.19,41.53,7.72,86.33,62.75,15.71,8.4,12.01,8.72,33
341,Diana Brown,Female,5.48,147,36.1,9.5,14.9,36,8.1,8/17/2021,Soccer,Training,Midfielder,150.02,992.85,4823.48,0.92,11377.62,154.08,9.01,780.63,550.53,827.4,19.92,37.99,34.95,35.03,9.73,8.08,17.15,4.13,0.97,33
342,Jack Garcia,Male,5.45,128,28.2,7.2,10.8,26,10.5,8/18/2021,Soccer,Game,Midfielder,109.3,1108.57,7837.24,4.74,6285.04,129.53,6.79,551.99,742.47,550.75,2.07,20.22,20.49,32.6,57.45,25.85,18.72,33.04,7.16,33
343,Paul Roberts,Male,4.85,196,35.0,6.3,12.7,45,9.3,8/22/2021,Soccer,Training,Midfielder,111.6,401.63,8692.06,7.19,4352.1,159.86,2.48,185.27,272.78,792.02,7.48,30.37,15.55,28.7,19.35,53.91,39.18,13.23,2.11,34
344,Paul Irwin,Male,5.37,109,32.5,7.2,24.5,23,5.8,8/23/2021,Soccer,Training,Midfielder,117.2,500.27,1626.97,4.35,14684.83,64.98,1.07,437.57,334.53,872.89,40.16,17.08,1.74,58.97,26.51,46.24,4.39,11.36,4.31,34
345,Tina Anderson,Female,5.3,157,36.1,8.7,16.4,42,6.1,8/24/2021,Soccer,Training,Midfielder,173.46,1101.81,9776.53,1.24,17060.22,100.95,6.6,288.28,724.69,920.13,53.67,69.47,39.8,12.87,53.41,24.8,39.75,31.25,15.7,34
346,Jack Khan,Male,5.73,120,29.9,7.3,19.5,32,8.1,8/25/2021,Soccer,Training,Midfielder,95.3,969.53,9373.57,8.23,4037.41,108.47,5.22,997.11,368.59,758.71,53.81,69.83,14.69,6.06,63.48,39.8,10.83,39.08,3.04,34
347,Frank Harris,Male,5.77,127,38.4,7.1,20.9,31,7.8,8/27/2021,Soccer,Game,Midfielder,70.87,967.83,4943.44,8.27,12638.43,182.87,6.24,458.25,203.56,507.63,17.11,3.79,30.93,56.3,43.35,56.15,31.26,39.33,16.71,35
348,Steve Roberts,Male,4.59,133,26.3,6.7,15.5,20,10.2,8/30/2021,Soccer,Training,Midfielder,38.33,600.57,273.24,6.48,2506.28,112.74,0.11,129.96,743.08,34.24,51.19,19.7,17.33,67.24,20.92,27.54,35.5,8.88,0.85,35
349,Diana Nelson,Female,5.25,107,37.1,8.0,12.2,40,9.1,8/31/2021,Soccer,Training,Midfielder,166.24,425.82,5671.48,3.59,557.26,112.44,1.75,855.44,275.87,432.8,40.51,46.74,22.33,35.23,27.12,52.26,26.3,13.44,1.72,35
350,Ivy Harris,Female,5.75,178,37.9,7.1,13.1,38,7.7,9/1/2021,Soccer,Training,Midfielder,65.16,293.52,2571.93,4.07,5350.0,99.58,8.79,793.83,652.42,303.78,26.07,31.76,10.83,61.57,52.63,19.05,22.52,22.82,9.5,35
351,Diana Harris,Female,5.51,244,37.3,8.9,14.7,40,6.2,9/2/2021,Soccer,Training,Midfielder,63.13,1082.7,9317.21,7.76,3134.26,123.46,6.01,74.34,393.88,500.78,48.94,73.6,58.38,51.34,29.49,30.53,8.91,8.91,4.44,35
352,Oscar Garcia,Male,6.21,186,32.7,6.3,19.5,39,6.6,9/3/2021,Soccer,Game,Midfielder,157.32,993.43,1541.28,5.76,9617.71,97.44,4.81,715.85,267.72,163.99,65.11,7.96,59.69,63.45,37.15,11.87,39.25,22.67,5.32,36
353,Tina Taylor,Female,5.82,187,31.6,8.7,16.0,37,9.0,9/5/2021,Soccer,Game,Midfielder,77.45,1003.92,6743.64,7.41,2330.41,161.27,2.16,965.33,232.99,772.66,57.58,10.44,6.01,17.8,23.55,4.09,29.32,1.14,12.83,36
354,Quincy Roberts,Male,4.83,168,39.9,7.0,10.1,30,8.0,9/7/2021,Soccer,Training,Midfielder,174.5,782.03,5343.85,0.91,8435.01,119.0,9.96,490.74,689.37,177.35,12.71,41.02,0.72,19.82,60.13,10.7,20.54,7.69,15.13,36
355,Grace Harris,Female,4.64,186,28.4,8.0,17.9,39,8.6,9/8/2021,Soccer,Training,Midfielder,71.2,1091.91,6792.55,5.41,3158.31,79.81,1.44,201.89,399.72,856.42,56.53,35.34,11.87,22.4,55.31,35.24,16.68,25.99,13.47,36
356,Oscar Irwin,Male,5.78,200,33.2,7.1,23.8,22,6.2,9/9/2021,Soccer,Individual,Midfielder,112.74,454.76,1880.47,6.03,5366.45,118.57,2.74,659.02,900.63,192.9,33.1,33.9,48.59,8.46,35.4,46.48,0.76,17.98,12.95,36
357,Eve Foster,Female,4.55,107,35.1,8.9,22.2,48,9.6,9/10/2021,Soccer,Training,Midfielder,112.26,369.58,4284.95,2.22,1356.48,122.47,0.33,358.5,991.02,442.97,30.12,44.01,8.85,72.8,49.39,24.36,8.21,15.75,1.29,37
358,Nina Khan,Female,5.67,176,35.5,9.8,22.4,36,11.0,9/11/2021,Soccer,Training,Midfielder,26.16,1090.54,8296.84,9.86,5647.73,142.95,0.58,809.56,598.43,762.91,55.92,65.2,11.16,54.79,54.79,40.24,33.26,35.93,16.91,37
359,Oscar Perez,Male,6.38,186,28.1,9.7,21.9,31,6.8,9/12/2021,Soccer,Game,Midfielder,123.53,822.77,5819.65,9.49,12497.85,182.08,9.57,817.82,829.59,586.29,37.44,70.66,58.93,38.42,29.48,31.01,6.21,3.78,14.33,37
360,Oscar Jackson,Male,5.65,142,34.8,8.3,14.9,29,8.4,9/14/2021,Soccer,Training,Midfielder,8.18,81.05,10160.57,4.12,4429.3,175.42,9.36,418.4,996.07,148.23,24.17,7.77,11.92,67.61,4.49,10.95,38.06,27.67,16.87,37
361,Paul Evans,Male,5.28,228,37.3,7.9,21.5,27,11.8,9/15/2021,Soccer,Training,Midfielder,102.81,558.42,5422.14,8.74,11605.99,162.64,4.5,196.47,222.99,753.05,20.85,72.9,36.74,8.71,11.58,43.27,31.29,6.64,17.63,37
362,Steve Taylor,Male,5.79,208,25.8,9.3,12.1,34,7.3,9/16/2021,Soccer,Training,Midfielder,99.71,562.58,7692.3,2.88,13793.03,106.81,4.64,267.11,841.81,788.03,38.86,16.92,52.5,67.94,23.66,58.64,11.2,30.96,3.73,37
363,Hank Irwin,Male,5.42,116,38.7,8.7,19.9,24,9.2,9/17/2021,Soccer,Game,Midfielder,131.34,371.46,7738.2,8.13,11911.45,102.83,3.69,486.24,995.4,49.23,36.32,44.7,47.13,60.48,57.27,19.19,15.92,10.6,7.09,38
364,Eve Clark,Female,5.59,232,25.4,6.7,19.6,23,5.6,9/18/2021,Soccer,Training,Midfielder,65.45,500.13,9035.27,9.15,8454.26,104.4,8.45,269.15,637.96,511.2,61.86,64.82,39.84,69.37,30.08,0.21,8.2,26.37,12.05,38
365,Grace Brown,Female,6.38,247,30.3,9.3,10.4,45,9.2,9/19/2021,Soccer,Game,Midfielder,44.91,950.51,4768.11,6.79,15424.14,89.21,9.24,215.78,270.38,682.85,3.47,73.59,49.05,7.78,35.1,52.5,5.25,8.65,3.75,38
366,Tina Clark,Female,5.27,120,25.2,7.7,21.8,47,5.6,9/21/2021,Soccer,Training,Midfielder,42.84,533.26,4830.88,7.98,13848.89,183.15,7.82,14.33,54.19,115.58,32.75,12.29,37.64,83.8,12.59,21.71,23.32,12.8,16.83,38
367,Paul Anderson,Male,6.42,157,26.2,6.8,23.5,40,11.7,9/22/2021,Soccer,Training,Midfielder,76.95,271.68,4090.15,0.66,8843.01,166.66,9.84,635.96,587.25,566.44,4.86,39.85,23.6,57.67,29.2,38.54,10.8,14.81,11.68,38
368,Paul Harris,Male,6.31,209,38.7,7.1,14.0,39,10.0,9/23/2021,Soccer,Training,Midfielder,15.71,642.21,350.05,9.22,3988.18,97.16,6.25,407.14,252.99,597.73,20.88,50.19,44.36,73.89,5.12,36.16,30.53,22.74,9.27,38
369,Ivy Clark,Female,4.89,238,30.3,7.1,22.2,38,10.5,9/24/2021,Soccer,Game,Midfielder,134.28,823.02,5068.78,0.15,16376.36,89.27,2.35,881.2,895.96,101.74,46.23,6.76,19.21,10.15,37.69,19.45,37.38,34.69,17.16,39
370,Karen Foster,Female,4.64,242,31.4,8.1,11.2,40,9.9,9/25/2021,Soccer,Training,Midfielder,161.55,1098.96,6006.21,7.23,15757.15,90.24,9.52,494.56,724.29,872.57,18.64,65.47,33.71,30.39,18.59,0.79,7.99,6.5,4.33,39
371,Karen Harris,Female,4.7,234,28.2,6.9,19.0,23,9.1,9/26/2021,Soccer,Training,Midfielder,152.57,174.32,3483.0,1.62,2729.36,92.34,1.12,474.98,877.9,868.59,35.12,19.15,40.16,72.59,38.47,22.88,1.01,2.55,14.05,39
372,Steve Owens,Male,4.54,127,34.0,6.5,17.3,34,8.1,9/28/2021,Soccer,Training,Midfielder,57.22,67.24,9902.99,6.59,7087.1,144.66,8.01,912.17,429.33,640.22,27.11,60.52,10.17,28.05,53.53,57.84,33.75,21.44,15.45,39
373,Jack Quinn,Male,4.69,150,33.9,6.5,18.2,36,11.0,9/29/2021,Soccer,Training,Midfielder,115.52,416.92,10126.47,6.48,4735.18,63.53,4.69,483.84,851.34,951.77,38.6,75.62,53.96,15.12,49.69,63.01,30.95,31.26,3.83,39
374,Bob Taylor,Male,5.87,104,30.6,8.3,23.9,31,11.7,9/30/2021,Soccer,Training,Midfielder,38.02,970.22,8393.91,7.55,10394.54,111.09,0.23,701.88,585.89,832.99,22.22,1.2,59.84,1.94,31.16,18.8,34.04,13.52,3.17,39
375,Frank Smith,Male,4.64,104,30.0,8.9,23.1,22,8.5,10/1/2021,Soccer,Training,Midfielder,137.36,1042.1,1559.26,4.24,4250.57,58.38,0.73,621.7,197.62,268.19,8.26,15.75,0.37,8.82,60.54,31.86,36.1,6.25,5.88,40
376,Tina Roberts,Female,5.14,193,38.3,7.3,21.8,29,11.5,10/3/2021,Soccer,Training,Midfielder,148.07,289.46,7.94,1.96,9863.42,143.21,4.46,807.91,411.12,647.35,45.71,70.36,9.52,24.96,52.15,55.83,28.51,39.84,8.99,40
377,Nina Clark,Female,6.19,195,30.7,6.1,14.1,34,9.1,10/5/2021,Soccer,Training,Midfielder,143.93,79.38,9567.51,0.6,6557.97,137.93,2.67,758.92,89.03,312.27,41.05,21.65,53.43,82.09,0.51,63.7,35.96,15.38,4.89,40
378,Nina Perez,Female,4.55,107,32.4,6.5,23.7,29,8.8,10/6/2021,Soccer,Training,Midfielder,138.84,944.98,1616.59,6.06,10273.39,156.03,9.66,126.92,118.33,550.98,17.99,6.5,55.04,69.84,41.93,20.01,4.86,27.46,1.93,40
379,Frank Khan,Male,6.13,163,29.2,9.7,11.5,43,8.2,10/7/2021,Soccer,Training,Midfielder,131.9,474.31,5346.07,1.97,3644.98,71.54,4.59,555.08,920.88,664.92,66.42,54.45,19.06,41.2,36.06,43.48,30.24,7.02,4.47,40
380,Rita Evans,Female,5.06,237,36.8,8.0,22.8,42,6.5,10/8/2021,Soccer,Game,Midfielder,115.79,402.18,480.37,6.7,2259.12,185.13,7.5,694.21,882.62,15.99,13.34,66.29,47.28,41.45,42.46,3.86,14.64,36.87,9.15,41
381,Bob Lopez,Male,4.74,137,31.0,7.8,14.9,37,5.0,10/9/2021,Soccer,Training,Midfielder,77.95,168.9,233.57,8.54,13202.78,86.11,3.0,732.55,477.7,290.71,60.65,23.02,17.35,50.93,24.98,47.52,2.26,31.04,8.98,41
382,Hank Clark,Male,5.89,210,32.7,6.2,10.8,20,6.7,10/10/2021,Soccer,Game,Midfielder,78.34,921.77,3772.18,9.69,4144.31,170.81,5.54,207.69,677.39,843.21,31.82,64.58,3.44,69.82,56.11,48.05,20.61,9.97,18.25,41
383,Karen Foster,Female,5.76,211,28.8,8.9,20.0,22,8.6,10/12/2021,Soccer,Individual,Midfielder,81.9,444.9,3158.26,0.68,8210.28,144.86,9.54,240.01,600.51,319.98,19.91,33.41,41.0,17.45,54.63,2.41,17.84,18.45,11.33,41
384,Grace Davis,Female,6.25,180,39.8,8.1,13.5,40,7.7,10/12/2021,Soccer,Training,Midfielder,75.9,494.41,348.18,8.04,7547.69,162.3,8.48,608.49,166.38,59.71,49.37,3.94,20.26,75.78,33.34,24.39,30.51,20.93,9.65,41
385,Steve Jackson,Male,5.97,235,29.4,6.8,13.7,45,8.1,10/13/2021,Soccer,Training,Midfielder,132.61,275.97,9446.71,1.96,15378.38,183.43,5.92,476.96,676.37,476.78,11.72,14.07,45.31,33.9,34.12,52.91,3.05,23.6,5.51,41
386,Hank Taylor,Male,6.11,203,36.6,6.4,14.6,46,11.9,10/14/2021,Soccer,Training,Midfielder,115.77,340.79,9613.71,9.49,2795.84,134.6,0.26,952.79,546.68,84.59,35.63,28.38,2.82,73.94,26.36,29.93,9.12,25.71,9.79,41
387,Jack Irwin,Male,5.06,172,31.4,7.5,11.0,31,7.5,10/15/2021,Soccer,Game,Midfielder,63.15,835.98,1056.85,2.33,1593.78,154.12,5.49,771.08,40.1,741.29,62.44,11.09,53.87,2.61,40.75,4.84,10.82,32.46,4.44,42
388,Eve Owens,Female,4.85,148,28.1,9.3,12.7,20,8.2,10/16/2021,Soccer,Training,Midfielder,65.63,165.78,6910.13,5.23,13497.6,97.71,7.38,94.48,47.95,685.84,30.13,60.34,43.04,88.3,58.51,24.59,21.1,26.22,2.98,42
389,Quincy Jackson,Male,6.0,135,37.0,9.5,10.1,22,5.9,10/17/2021,Soccer,Game,Midfielder,84.07,620.45,5959.33,4.59,1582.4,180.22,9.53,793.75,450.98,253.33,39.53,71.99,42.9,62.74,32.77,19.65,23.08,29.0,4.18,42
390,Frank Roberts,Male,6.11,225,30.0,8.4,16.7,22,5.3,10/19/2021,Soccer,Training,Midfielder,58.19,219.62,9901.07,2.0,3228.38,121.13,0.06,493.1,567.63,662.47,32.63,4.31,54.42,71.61,49.35,28.62,8.72,24.14,13.23,42
391,Hank Khan,Male,6.48,167,38.0,8.9,11.3,24,10.4,10/20/2021,Soccer,Training,Midfielder,86.78,210.45,1183.09,0.68,4769.03,110.92,9.35,560.76,814.41,205.0,19.54,50.3,53.71,46.37,24.57,36.9,26.22,34.58,3.09,42
392,Tina Roberts,Female,5.33,177,38.7,6.5,20.2,38,9.0,10/21/2021,Soccer,Training,Midfielder,166.0,435.92,6107.81,2.08,5959.72,71.69,7.64,469.67,724.06,628.95,43.71,31.01,32.02,27.1,45.34,16.73,33.68,36.67,6.28,42
393,Frank Brown,Male,5.24,204,37.9,8.4,13.5,48,10.3,10/22/2021,Soccer,Game,Midfielder,17.57,935.17,5739.23,8.34,3785.89,137.57,3.76,647.54,703.7,514.1,3.16,0.3,36.45,11.52,63.94,1.4,36.13,36.49,6.17,43
394,Oscar Evans,Male,6.05,221,25.5,8.7,24.2,44,6.0,10/23/2021,Soccer,Training,Midfielder,32.33,572.32,2702.12,0.99,14521.84,157.57,0.3,731.54,694.79,953.79,7.16,10.52,1.86,22.89,8.66,20.53,24.03,25.4,9.91,43
395,Quincy Evans,Male,5.18,218,36.8,6.8,23.1,20,9.0,10/24/2021,Soccer,Game,Midfielder,115.25,414.48,9132.53,9.81,1604.63,81.82,5.05,740.07,894.89,511.3,21.45,76.64,43.45,71.91,5.15,60.77,22.05,2.57,6.8,43
396,Charlie Taylor,Male,6.36,213,31.2,9.5,14.3,23,6.8,10/26/2021,Soccer,Training,Midfielder,34.88,803.26,7870.46,0.36,11329.8,150.1,5.48,979.11,272.08,830.39,22.4,74.56,42.25,84.93,3.71,22.32,13.03,1.76,7.07,43
